Brawler,Rarity,Class,Voice actor,Movement speed,Attack Range,Reload,Attack spread,Super Range,Projectiles per Super,Projectile speed,Projectiles per attack,Attack width,Attack projectile speed,Thorny grenade range,Health_11,Previous Brawler,Next Brawler,Gadget_1_Name,Gadget_1_Cooldown,Gadget_2_Name,Gadget_2_Cooldown,Super Charge per Hit (%),Hypercharge per Hit (%),Gadget 1 Cooldown,Gadget 2 Cooldown,Super duration,StarPower_1_Name,StarPower_2_Name
8-BIT,Super Rare,Damage Dealer,Martin Schjøler,580 (Very Slow)720 (with Plugged In)731 (with Hypercharge)871 (with Plugged In and Hypercharge),10 (Very Long),1.5 seconds (Normal)1.275 seconds (with Reload Gear),9°,5,N/A,11964500 (Damage Booster; with Hypercharge),618 (with Extra Credits),0.33,4500,3.335 (with Boosted Booster)9 (with Hypercharge),10000,Tick,Rico,Cheat Cartridge,18 seconds,Extra Credits,11 seconds,8.48%,2.968%,18 seconds,11 seconds,,,
Amber,Legendary,Controller,Leah Arscott,720 (Normal)828 (with Hypercharge)820 (with Fire Starters)928 (with Fire Starters and Hypercharge),8.33 (Long),0.22 seconds (8.8 seconds max; Very Fast)0.187 seconds (7.48 seconds max; with Reload Gear)0.146 seconds (5.86 seconds max; with Scorchin' Siphon)0.124 seconds (4.96 seconds max; with Scorchin' Siphon and Reload Gear),15°,7.33 (Long),N/A,1750,40 (full ammo bar),,3500,,6400,Sandy,Meg,Fire Starters,15 seconds,Dancing Flames,14 seconds,4.305%,2.1525%,15 seconds,14 seconds,,,
Angelo,Epic,Marksman,Austen Moret,820 (Very Fast)1017 (with Hypercharge)1025 (with Flow)1222 (with Flow and Hypercharge)2000 (with Stinging Flight),10 (Very Long),0.1 seconds (Very Fast),N/A,2.33 (Short),N/A,N/A,,0.67,4000,,6000,Larry & Lawrie,Berry,Stinging Flight,18 seconds,Master Fletcher,18 seconds,3.5%–35% (min to max damage),1.225%–12.25% (min to max damage),18 seconds,18s,8 seconds,Empower,
Ash,Epic,Tank,Russ Bain,"720 (Normal)770 (Fast; half Rage)820 (Very Fast, full Rage)900 (with Hypercharge)963 (half Rage and with Hypercharge) 1025 (full Rage and with Hypercharge)",4.67 (Normal),1.4 seconds (Fast)1 second (with full Rage and Mad As Heck),N/A,5 (Normal),N/A,1196,,1.67,5000,,10800,Belle,Lola,Chill Pill,13 seconds,Rotten Banana,8 seconds,16.8%,8.4%,13 seconds,8 seconds,,,
Barley,Rare,Artillery,Phillip Lockwood,720 (Normal)907 (with Hypercharge),7.33 (Long),2 seconds (Slow),N/A,9.33 (Very Long),53 (with Hypercharge),15042104 (with Hypercharge),,,1750,,4800,El Primo,Poco,Sticky Syrup Mixer,18 seconds,Herbal Tonic,17 seconds,18%,5.4%,18 seconds,17 seconds,,Medical Use,
Bea,Epic,Marksman,Tiffany Grant,720 (Normal)893 (with Hypercharge),10 (Very Long),0.9 seconds (Very Fast),N/A,9 (Long),7,2500,,1,3255,,5000,Bibi,Nani,Honey Molasses,20 seconds,Rattled Hive,24 seconds,26%,10.4%,20 seconds,24 seconds,,,
Belle,Epic,Marksman,Beth Curry,720 (Normal)907 (with Hypercharge),10 (Very Long),1.4 seconds (Fast)1.19 seconds (with Reload Gear),N/A,10.67 (Very Long),N/A,4000,,0.670.33 (bounce),4000,,5200,Colette,Ash,Nest Egg,20 seconds,Reverse Polarity,14 seconds,21.84%,8.736%,20 seconds,14 seconds,,,
Berry,Epic,Support,James Alexander,720 (Normal)900 (with Hypercharge)3000 (with Super),6.33 (Normal),2.4 seconds (Very Slow)1.6 seconds (With Floor is Fine; Normal),N/A,8.33 (Long),N/A,2400,,,2200,,5000,Angelo,Shade,Friendship is Great,17 seconds,Healthy Additives,12 seconds,12.375%,4.95%,17 seconds,12 seconds,6 seconds,,
Bibi,Epic,Tank,Bindy Coda,820 (Very Fast)1017 (with Hypercharge)920 (with Home Run)1117 (with Home Run and Hypercharge),3.67 (Short),0.8 seconds (Very Fast),150°,40 (Very Long),N/A,3000,,,,,9600,Frank,Bea,Vitamin Booster,15 seconds,Extra Sticky,10 seconds,35%,17.5%,15 seconds,10 seconds,4 seconds,,
Bo,Epic,Controller,Brian Stivale,720 (Normal)893 (with Hypercharge),8.67 (Long),1.7 seconds (Normal)1.445 seconds (with Reload Gear),15°,8.67 (Long),35 (with Hypercharge),2391,3,,2800,,7200,Gus,Emz,Super Totem,20 seconds,Tripwire,8 seconds,11.84%,5.328%,20 seconds,8 seconds,,,
Bonnie,Epic,Marksman,Bindy Coda,620 (Clyde; Slow)775 (Clyde; with Hypercharge)806 (with Sugar Rush)931 (with Sugar Rush and Hypercharge)0–1833 (with Super)0–2500 (with Super and Black Powder)820 (Bonnie; Very Fast)1025 (Bonnie; with Hypercharge)2000 (with Crash Test),9 (Clyde; Long) 5 (Bonnie; Normal),1 second (Clyde; Very Fast)0.7 seconds (with Sugar Rush)2 seconds (Bonnie; Slow),20º (Bonnie),7.33 (Long)10 (with Black Powder),N/A,N/A,1 (Clyde)3 (Bonnie),10.33 (with Wisdom Tooth),3800 (Clyde)3261 (Bonnie),,9600,Grom,Gale,Sugar Rush,16 seconds,Crash Test,10 seconds,30.8%,12.32% (Clyde),16 seconds,10 seconds,,,
Brock,Rare,Marksman,Scott William,720 (Normal)907 (with Hypercharge),9 (Long),2.1 seconds (Slow)1.785 seconds (with Reload Gear),N/A,8.33 (Long),9  13 (with More Rockets)28 (with Hypercharge)35 (with More Rockets and Hypercharge),870,,0.671 (with Rocket Fuel),27003500 (with Rocket Fuel),,5400,Bull,El Primo,Rocket Laces,15 seconds,Rocket Fuel,15 seconds,20.01%,9%,15 seconds,15s,,,
Bull,Rare,Tank,Bill Russell,770 (Fast)963 (with Hypercharge)2000 (with Super),5.33 (Normal),1.6 seconds (Normal)0.8 seconds (with Berserker),45°,11 (Very long),N/A,N/A,5,,2853,,10000,Colt,Brock,T-Bone Injector,12 seconds,Stomper,14 seconds,11%,3.85%,12 seconds,14 seconds,,,
Buster,Mythic,Tank,Paul Moran,770 (Fast)963 (with Hypercharge)620 (while Super is active),5.33 (Normal),1.8 seconds (Normal),45°,3 (Short),N/A,4200 (counterattack projectile),,,4200,,9600,Otis,Gray,Utility Belt,16 seconds,Slo-Mo Replay,17 seconds,34.5–17.25% (close to max range),13.8–6.9% (close to max range),16 seconds,17 seconds,3 seconds,,
Buzz,Mythic,Assassin,Joshua Gordy,770 (Fast)963 (with Hypercharge)4500 (with Super),2.67 (Short),1 second (Very Fast),100°,10 (Very Long),N/A,3500,5,,4000,,9600,Ruffs,Fang,Reverse Buoy,18 seconds,X-Ray-Shades,20 seconds,10.08%,2.52%,18 seconds,20 seconds,,,
Byron,Mythic,Support,Steven Kelly,720 (Normal),10 (Very Long),1.45 seconds (Fast),30° (with Booster Shots),7.33 (Long),N/A,2000,13 (with Booster Shots),1,4000,,4800,Sprout,Squeak,Shot In The Arm,17 seconds,Booster Shots,18 seconds,11.305%,N/A,17 seconds,18 seconds,,,
Carl,Super Rare,Damage Dealer,Joshua Graham,720 (Normal)900 (with Hypercharge)1440 (with Super),8.33 (Long),N/A,N/A,2.33 (Short),12,N/A,,1.67,30003312 (with Power Throw),,8000,Penny,Jacky,Heat Ejector,17 seconds,Flying Hook,19 seconds,17.575%,8.7875%,17 seconds,19 seconds,3 seconds,,
Charlie,Mythic,Controller,Elsa Perusin,720 (Normal)907 (with Hypercharge),9 (Long),N/A,N/A,9 (Long),N/A,3300,,1,4200,,7000,Chuck,Mico,Spiders,20 seconds,Personal Space,15 seconds,16.8%,10.08%,20 seconds,15 seconds,5 seconds,,
